"id","name","code","created_at","updated_at","deleted_at"
"1","English","en","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"2","Afar","aa","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"3","Abkhazian","ab","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"4","Afrikaans","af","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"5","Amharic","am","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"6","Arabic","ar","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"7","Assamese","as","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"8","Aymara","ay","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"9","Azerbaijani","az","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"10","Bashkir","ba","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"11","Byelorussian","be","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"12","Bulgarian","bg","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"13","Bihari","bh","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"14","Bislama","bi","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"15","Bengali/Bangla","bn","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"16","Tibetan","bo","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"17","Breton","br","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"18","Catalan","ca","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"19","Corsican","co","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"20","Czech","cs","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"21","Welsh","cy","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"22","Danish","da","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"23","German","de","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"24","Bhutani","dz","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"25","Greek","el","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"26","Esperanto","eo","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"27","Spanish","es","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"28","Estonian","et","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"29","Basque","eu","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"30","Persian","fa","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"31","Finnish","fi","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"32","Fiji","fj","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"33","Faeroese","fo","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"34","French","fr","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"35","Frisian","fy","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"36","Irish","ga","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"37","Scots/Gaelic","gd","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"38","Galician","gl","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"39","Guarani","gn","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"40","Gujarati","gu","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"41","Hausa","ha","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
